P37_8,P56,P60,P1,P2,PONDERA,P59_1,P59_2,P59_3,P59_4,P59_5,P59_6,P59_7,P59_8,P59_9,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
0,3,1,1,59,132.118144014007,1,0,1,1,1,1,0,0,0,7.0,,,,,,,,2.0,,,,,,,
0,2,0,2,36,184.06779661017,0,0,0,0,0,0,0,0,0,2.0,5.0,,,,,,,1.0,2.0,,,,,,
0,2,0,1,76,353.395446217027,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,,,,,,,
0,1,0,2,54,174.687499999999,0,0,0,0,0,0,0,0,0,1.0,2.0,4.0,5.0,7.0,,,,4.0,7.0,,,,,,
0,2,0,2,70,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,2.0,,,,,,,6.0,1.0,3.0,,,,,
0,2,0,1,46,192.265465869145,1,0,0,0,0,0,0,0,0,3.0,2.0,5.0,6.0,,,,,1.0,4.0,,,,,,
0,2,0,2,34,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,3.0,,,,,,,4.0,1.0,8.0,3.0,7.0,,,
0,3,0,1,56,90.4739583333333,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,5.0,,,,,,,
0,2,0,1,35,353.395446217027,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,1.0,,,,,,,
0,2,0,2,22,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,1.0,,,,,,,
0,2,1,2,21,90.4739583333333,1,0,0,0,0,1,0,0,0,5.0,2.0,,,,,,,5.0,6.0,,,,,,
0,2,0,2,35,174.687499999999,0,0,0,0,0,0,0,0,0,2.0,4.0,1.0,7.0,3.0,,,,5.0,1.0,3.0,4.0,6.0,7.0,2.0,
0,2,0,2,28,257.21052631579,0,0,0,0,0,0,0,0,0,2.0,7.0,5.0,1.0,6.0,,,,1.0,2.0,,,,,,
0,2,0,1,42,353.395446217027,0,0,0,0,0,0,0,0,0,7.0,5.0,2.0,,,,,,7.0,1.0,5.0,,,,,
0,2,0,2,47,257.21052631579,0,0,0,0,0,0,0,0,0,7.0,5.0,,,,,,,6.0,,,,,,,
0,2,0,2,44,90.4739583333333,0,0,0,0,0,0,0,0,0,6.0,5.0,3.0,2.0,1.0,7.0,4.0,,2.0,1.0,6.0,4.0,3.0,8.0,,
0,2,0,2,25,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,1.0,,,,,,,3.0,1.0,,,,,,
0,2,0,1,44,353.395446217027,0,0,0,0,0,0,0,0,0,1.0,3.0,2.0,5.0,,,,,2.0,3.0,5.0,1.0,8.0,6.0,4.0,
0,3,0,2,46,174.687499999999,0,0,0,0,0,0,0,0,0,2.0,1.0,4.0,,,,,,2.0,1.0,,,,,,
0,2,0,1,39,323.675,1,0,0,0,0,0,0,1,0,7.0,5.0,,,,,,,2.0,7.0,,,,,,
0,2,0,1,43,353.395446217027,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,1.0,2.0,,,,,,
0,2,0,2,35,90.4739583333333,0,0,0,0,0,0,0,0,0,1.0,5.0,,,,,,,2.0,4.0,3.0,,,,,
0,2,1,2,57,323.675,1,0,0,0,0,1,0,0,0,7.0,2.0,4.0,,,,,,1.0,,,,,,,
0,2,0,1,52,353.395446217027,0,0,0,0,0,0,0,0,0,5.0,3.0,,,,,,,4.0,,,,,,,
0,3,0,2,32,90.4739583333333,0,0,0,0,0,0,0,0,0,7.0,2.0,5.0,,,,,,1.0,3.0,,,,,,
0,3,0,1,48,257.21052631579,0,0,0,0,0,0,0,0,0,5.0,7.0,2.0,3.0,6.0,,,,8.0,4.0,2.0,6.0,5.0,,,
0,2,0,2,47,132.118144014007,0,0,0,0,0,0,0,0,0,6.0,,,,,,,,3.0,1.0,2.0,,,,,
0,2,0,2,57,90.4739583333333,0,0,0,0,0,0,0,0,0,2.0,5.0,,,,,,,2.0,,,,,,,
0,2,0,2,55,192.265465869145,0,1,0,0,1,0,0,0,0,5.0,7.0,,,,,,,5.0,1.0,4.0,,,,,
0,2,1,2,44,192.265465869145,1,0,0,0,0,0,0,0,0,1.0,2.0,,,,,,,1.0,,,,,,,
0,2,0,2,39,323.675,0,0,0,0,0,0,0,0,0,3.0,6.0,5.0,,,,,,5.0,2.0,,,,,,
0,3,1,1,33,90.4739583333333,1,0,0,0,0,1,0,0,0,6.0,2.0,5.0,,,,,,3.0,2.0,1.0,,,,,
0,2,0,1,29,192.265465869145,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,1.0,,,,,,,
0,3,0,2,42,353.395446217027,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,,,,,,,
0,2,0,2,33,257.21052631579,0,0,0,0,0,0,0,0,0,7.0,1.0,2.0,4.0,,,,,7.0,,,,,,,
0,3,0,1,53,184.06779661017,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,2.0,,,,,,,
0,2,0,1,36,257.21052631579,0,0,0,0,0,0,0,0,0,5.0,2.0,3.0,1.0,7.0,4.0,6.0,,1.0,,,,,,,
0,2,0,1,43,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,4.0,,,,,,,
0,3,0,1,54,353.395446217027,0,0,0,0,0,0,0,0,0,3.0,,,,,,,,4.0,,,,,,,
0,1,1,1,38,192.265465869145,1,1,1,1,0,0,1,1,1,2.0,1.0,,,,,,,8.0,,,,,,,
0,2,0,2,43,323.675,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,,,,,,,
0,3,0,2,53,192.265465869145,0,0,0,0,0,0,0,0,0,6.0,7.0,5.0,,,,,,4.0,,,,,,,
0,1,0,1,47,192.265465869145,0,0,0,0,0,0,0,0,0,3.0,2.0,,,,,,,1.0,3.0,8.0,7.0,4.0,,,
0,2,0,1,46,90.4739583333333,0,0,0,0,0,0,0,0,0,2.0,1.0,,,,,,,8.0,4.0,,,,,,
0,2,0,1,31,90.4739583333333,0,0,0,0,0,0,0,0,0,2.0,7.0,,,,,,,1.0,5.0,4.0,3.0,2.0,8.0,7.0,6.0
0,3,0,1,60,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,1.0,2.0,,,,,,1.0,4.0,,,,,,
0,3,0,2,37,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,3,0,1,70,67.5442185508479,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,2,0,1,56,192.265465869145,0,0,0,0,0,0,0,0,0,1.0,5.0,2.0,3.0,,,,,1.0,5.0,,,,,,
0,3,0,2,57,184.06779661017,0,0,0,0,0,0,0,0,0,2.0,7.0,,,,,,,2.0,1.0,,,,,,
0,2,0,1,35,323.675,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,2.0,,,,,,,
0,2,0,1,53,353.395446217027,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,1.0,,,,,,,
0,2,0,1,55,184.06779661017,0,0,0,0,0,0,0,0,0,2.0,3.0,6.0,,,,,,5.0,,,,,,,
0,2,0,1,64,192.265465869145,0,0,0,0,0,0,0,0,0,1.0,2.0,6.0,,,,,,2.0,,,,,,,
0,2,1,1,35,192.265465869145,0,0,0,0,1,0,1,1,0,5.0,2.0,,,,,,,4.0,,,,,,,
0,1,0,1,38,67.5442185508479,0,0,0,0,0,0,0,0,0,7.0,2.0,1.0,,,,,,3.0,1.0,5.0,,,,,
0,2,0,2,60,192.265465869145,0,0,0,0,0,0,0,0,0,4.0,2.0,,,,,,,8.0,4.0,,,,,,
0,2,0,2,46,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,6.0,,,,,,,1.0,4.0,2.0,,,,,
0,3,0,1,32,67.5442185508479,0,0,0,0,0,0,0,0,0,7.0,2.0,1.0,,,,,,1.0,,,,,,,
0,2,0,2,34,98.2499999999995,0,0,0,0,0,0,0,0,0,3.0,7.0,4.0,1.0,,,,,4.0,1.0,2.0,,,,,
0,2,0,2,30,90.4739583333333,0,0,0,0,0,0,0,0,0,2.0,1.0,,,,,,,4.0,3.0,,,,,,
0,2,0,1,59,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,1.0,,,,,,,1.0,,,,,,,
