P37_8,P56_1,P58,P62,P63,FACTOR_REGION,FACTOR_TOTAL,P60,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
1,4,0,1,54,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,4,0,1,50,212.48695652173913,209.6189111747851,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,1,1,49,181.0,177.64285714285714,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,3,0,1,44,81.11764705882354,77.29824561403508,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0
0,3,0,2,47,61.04761904761905,63.583333333333336,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,2,29,281.8158236057069,272.0928725701944,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,1,42,212.48695652173913,209.6189111747851,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,0,1,67,212.48695652173913,209.6189111747851,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,0,2,32,101.24361493123772,103.51764705882353,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,3,0,2,31,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,4,0,1,68,212.48695652173913,209.6189111747851,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,0,2,54,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,2,59,281.8158236057069,272.0928725701944,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0,4,0,2,44,212.48695652173913,209.6189111747851,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0
0,4,1,1,44,212.48695652173913,209.6189111747851,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,3,0,1,57,101.24361493123772,103.51764705882353,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1
0,3,0,1,52,281.8158236057069,272.0928725701944,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
0,3,1,2,52,212.48695652173913,209.6189111747851,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,3,0,2,58,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4,0,2,74,194.4655172413793,170.04225352112675,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0
0,4,0,1,37,212.48695652173913,209.6189111747851,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,2,0,2,52,212.48695652173913,209.6189111747851,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,4,0,1,33,212.48695652173913,209.6189111747851,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4,0,2,58,101.24361493123772,103.51764705882353,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,3,0,2,30,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,2,57,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,0,2,32,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,1,40,212.48695652173913,209.6189111747851,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,3,0,1,42,281.8158236057069,272.0928725701944,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,0,2,22,281.8158236057069,272.0928725701944,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,5,0,1,33,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5,0,1,51,212.48695652173913,209.6189111747851,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,3,1,1,40,212.48695652173913,209.6189111747851,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,2,1,1,41,101.24361493123772,103.51764705882353,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
0,1,1,1,31,281.8158236057069,272.0928725701944,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,1,2,33,281.8158236057069,272.0928725701944,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
0,3,0,2,32,281.8158236057069,272.0928725701944,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
1,4,0,2,50,212.48695652173913,209.6189111747851,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,0,2,48,281.8158236057069,272.0928725701944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,2,0,2,44,212.48695652173913,209.6189111747851,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,1,0,1,55,101.24361493123772,103.51764705882353,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,4,0,2,30,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,5,0,2,29,281.8158236057069,272.0928725701944,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,5,0,1,60,281.8158236057069,272.0928725701944,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,2,0,1,45,281.8158236057069,272.0928725701944,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,4,0,1,40,61.04761904761905,63.583333333333336,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,2,1,2,50,212.48695652173913,209.6189111747851,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,2,52,81.11764705882354,77.29824561403508,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,5,0,1,30,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3,0,1,40,101.24361493123772,103.51764705882353,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1,2,55,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,1,47,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
0,4,0,1,30,281.8158236057069,272.0928725701944,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,1,1,62,281.8158236057069,272.0928725701944,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,2,41,81.11764705882354,77.29824561403508,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1,4,0,1,53,88.25,80.52941176470588,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,4,0,1,54,81.11764705882354,77.29824561403508,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,2,28,81.11764705882354,77.29824561403508,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,1,40,81.11764705882354,77.29824561403508,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,3,0,2,56,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,3,0,2,37,281.8158236057069,272.0928725701944,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,3,0,1,34,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,4,1,1,44,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,0,1,45,93.91666666666667,90.64285714285714,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,3,0,2,52,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
1,5,0,2,39,212.48695652173913,209.6189111747851,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
0,4,0,1,32,212.48695652173913,209.6189111747851,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,3,0,1,30,212.48695652173913,209.6189111747851,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,3,0,1,29,101.24361493123772,103.51764705882353,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,4,0,2,27,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,0,2,39,281.8158236057069,272.0928725701944,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,1,40,81.11764705882354,77.29824561403508,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,4,0,2,44,81.11764705882354,77.29824561403508,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,3,0,2,26,81.11764705882354,77.29824561403508,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
0,1,0,2,62,212.48695652173913,209.6189111747851,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
0,1,1,2,63,101.24361493123772,103.51764705882353,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,2,28,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,1,1,45,101.24361493123772,103.51764705882353,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3,0,1,37,194.4655172413793,170.04225352112675,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4,1,1,29,81.11764705882354,77.29824561403508,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,0,1,43,61.04761904761905,63.583333333333336,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,4,0,1,43,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,3,0,2,27,212.48695652173913,209.6189111747851,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,2,51,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,0,1,60,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,3,0,1,46,101.24361493123772,103.51764705882353,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4,0,1,71,281.8158236057069,272.0928725701944,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,46,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,3,0,1,41,101.24361493123772,103.51764705882353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,4,0,2,56,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,5,0,1,52,212.48695652173913,209.6189111747851,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
1,1,0,1,27,281.8158236057069,272.0928725701944,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1
0,2,0,1,27,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,4,1,1,47,194.4655172413793,170.04225352112675,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,0,1,64,101.24361493123772,103.51764705882353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,0,1,43,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0,2,38,212.48695652173913,209.6189111747851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,5,0,1,32,281.8158236057069,272.0928725701944,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,1,36,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,1,1,2,40,281.8158236057069,272.0928725701944,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,1,2,35,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3,0,1,38,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
1,4,0,2,31,281.8158236057069,272.0928725701944,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,4,0,1,49,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,5,0,1,58,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,2,62,101.24361493123772,103.51764705882353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,1,51,101.24361493123772,103.51764705882353,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,2,46,281.8158236057069,272.0928725701944,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,2,62,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
0,4,0,1,28,212.48695652173913,209.6189111747851,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,0,2,35,81.11764705882354,77.29824561403508,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
0,3,1,3,40,281.8158236057069,272.0928725701944,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
0,2,0,1,39,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,3,0,1,44,212.48695652173913,209.6189111747851,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,5,0,2,30,281.8158236057069,272.0928725701944,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
1,3,0,1,65,101.24361493123772,103.51764705882353,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,1,35,88.25,80.52941176470588,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0
0,3,0,1,50,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,3,0,1,56,281.8158236057069,272.0928725701944,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5,1,1,30,101.24361493123772,103.51764705882353,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,4,1,2,29,61.04761904761905,63.583333333333336,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
0,4,0,2,20,61.04761904761905,63.583333333333336,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
0,3,1,1,64,56.625,58.22222222222222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,2,40,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,0,2,55,212.48695652173913,209.6189111747851,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,4,0,2,38,281.8158236057069,272.0928725701944,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,0,1,38,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,0,1,46,212.48695652173913,209.6189111747851,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3,0,1,39,281.8158236057069,272.0928725701944,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5,0,2,36,281.8158236057069,272.0928725701944,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
0,4,0,1,31,281.8158236057069,272.0928725701944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,1,1,51,281.8158236057069,272.0928725701944,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
